Team,City ,Stadium ,Latitude,Longitude
A.C Milan,Milan,San Siro Stadium,45.478489,9.12215
Inter de Milan,Milan,San Siro Stadium,45.478489,9.12215
Roma,Roma,Olimpico di Roma,41.933964,12.454297
Lazio,Roma,Olimpico di Roma,41.933964,12.454297
Napoli,Napoli,Stadio Diego Armando Maradona,40.827967,14.193008
Fiorentina,Firenze,Artemio Franchi,43.7751569,11.27602056
Juventus,Torino,Allianz Stadium,45.10566624,7.637997448
Verona,Verona,Marcantonio Bentegodi,45.43454493,10.96785113
Bologna,Bologna,Stadio Renato Dall'Ara,44.48871971,11.30579878
Genoa,Genova,Luigi Ferraris,44.40985669,8.951452861
Lecce,Lecce,Stadio Via del Mare,40.35916523,18.20533251
Salernitana,Salerno,Arechi,40.64033077,14.82099672
Torino,Torino,Stadio Olimpico Grande Torino,45.03838318,7.650005733
Udinese,Udine,Stadio Friuli,46.07562803,13.20008087
Atalanta,Bergamo,Atleti Azzurri d'Italia,45.70533051,9.675163966
Sassuolo,Reggio Emilia,Mapei Stadium,44.7088305,10.64316409
Empoli,Empoli,Carlo Castellani,43.72249711,10.95299619
Monza,Monza,Stadio Brianteo,45.57633103,9.304832114
Cagliari,Cagliari,Unipol Domus,39.1998673,9.1383365
Frosinone,Frosinone,Benito Stirpe,41.633987,13.322092
